iter	Logloss
0	0.5997487189
1	0.5118565034
2	0.4466274204
3	0.3930915737
4	0.354143205
5	0.322623592
6	0.3026295252
7	0.2894789747
8	0.2697335507
9	0.2432086402
10	0.2181743428
11	0.2067888012
12	0.1915184532
13	0.178950873
14	0.1689308709
15	0.15822269
16	0.1436893262
17	0.1367754878
18	0.1299730926
19	0.1264043208
20	0.1195175629
21	0.1136474384
22	0.1078297419
23	0.1043401486
24	0.1011692106
25	0.09308903624
26	0.08987393501
27	0.08746759678
28	0.08502576115
29	0.0817337697
30	0.07760584818
31	0.07444430106
32	0.07236004753
33	0.07027490178
34	0.06548505834
35	0.06387205138
36	0.06075344598
37	0.05884960643
38	0.05648805746
39	0.05471396872
40	0.05316988115
41	0.05168087983
42	0.04870625996
43	0.04724069115
44	0.04487187309
45	0.0438009866
46	0.04286104271
47	0.04115451827
48	0.04029760883
49	0.03763331961
50	0.03610393614
51	0.03490140929
52	0.03395313074
53	0.03251320361
54	0.03085751931
55	0.03032735616
56	0.02941762224
